location,category,address
강남역 2호선,"지하철,전철",서울특별시 강남구 강남대로 396
바비레드 강남본점,이탈리아음식,서울특별시 강남구 봉은사로6길 39 바비레드
어글리스토브 신논현강남역점,브런치,서울특별시 강남구 강남대로98길 20
구구당,퓨전음식,서울특별시 강남구 강남대로102길 35 구구당
마녀주방 강남점,이탈리아음식,서울특별시 강남구 강남대로94길 9
알베르,카페,서울특별시 강남구 강남대로102길 34
던킨 라이브 강남,도넛,서울특별시 서초구 강남대로 373 홍우빌딩 1층
카카오프렌즈 강남점,"문구,팬시용품",서울특별시 서초구 강남대로 429 동일빌딩
더달달 카페,초콜릿전문점,서울특별시 강남구 강남대로102길 38-6
카페 노티드 강남 카카오,"카페,디저트",서울특별시 서초구 강남대로 429
토끼정 강남점,일식당,서울특별시 강남구 봉은사로6길 32
도치피자 강남점,피자,서울특별시 강남구 강남대로98길 27 1층
딘타이펑 강남점,중식당,서울특별시 서초구 서초대로73길 12 세계빌딩
고에몬 강남점,"스파게티,파스타전문",서울특별시 서초구 서초대로77길 7 서초빌딩 1층
마초쉐프 강남본점,이탈리아음식,서울특별시 강남구 강남대로106길 29 1층
